"index","station_name","latlng","lat","lng","district"
"0","大明街口","22.59086,120.41897","22.59086","120.41897","高雄市大寮區"
"0","南寮","22.76021,120.23667","22.76021","120.23667","高雄市彌陀區"
"0","秀傳醫院","22.7965,120.29453","22.7965","120.29453","高雄市岡山區"
"0","壽華路","22.79727,120.29312","22.79727","120.29312","高雄市岡山區"
"0","空軍機校","22.79919,120.28465","22.79919","120.28465","高雄市岡山區"
"0","育才路口","22.80513,120.27699","22.80513","120.27699","高雄市岡山區"
"0","南本洲","22.80735,120.26524","22.80735","120.26524","高雄市岡山區"
"0","本洲","22.80787,120.26102","22.80787","120.26102","高雄市岡山區"
"0","西本洲","22.80808,120.25847","22.80808","120.25847","高雄市永安區"
"0","工業區(本洲)","22.8083,120.25162","22.8083","120.25162","高雄市永安區"
"0","維新-岡","22.80827,120.24677","22.80827","120.24677","高雄市永安區"
"0","上寮路口(大寮路)","22.59194,120.42199","22.59194","120.42199","高雄市大寮區"
"0","西維新","22.80943,120.24329","22.80943","120.24329","高雄市永安區"
"0","天文宮","22.81336,120.24279","22.81336","120.24279","高雄市永安區"
"0","南天宮(永安)","22.81653,120.24152","22.81653","120.24152","高雄市永安區"
"0","牧場","22.81874,120.24044","22.81874","120.24044","高雄市永安區"
"0","永安國中","22.82349,120.23828","22.82349","120.23828","高雄市永安區"
"0","永安","22.81856,120.22627","22.81856","120.22627","高雄市永安區"
"0","永安國小","22.81589,120.22437","22.81589","120.22437","高雄市永安區"
"0","西永安","22.81677,120.22139","22.81677","120.22139","高雄市永安區"
"0","新港","22.81779,120.21064","22.81779","120.21064","高雄市永安區"
"0","新港國小","22.82192,120.20879","22.82192","120.20879","高雄市永安區"
"0","北新港","22.82839,120.20657","22.82839","120.20657","高雄市永安區"
"0","鹽村","22.83349,120.2086","22.83349","120.2086","高雄市永安區"
