,station_name,lat,lng,district
334,口隘,22.92235,120.49714,WFCW+WVJ 台灣高雄市旗山區
335,圓潭農會,22.92693,120.50024,WGG2+Q3H 台灣高雄市旗山區
336,圓潭農場,22.92939,120.50205,WGH2+QR3 台灣高雄市旗山區
337,圓潭,22.9325,120.5033,WGM3+283 台灣高雄市旗山區
338,中隘,22.93943,120.50671,WGQ4+QMG 台灣高雄市旗山區
339,大發工業區管理中心,22.58221,120.42875,HCJH+VFQ 台灣高雄市大寮區
340,埔姜林,22.94907,120.51104,WGX6+JCF 台灣高雄市旗山區
341,大林(旗甲路四段),22.95954,120.51578,XG58+R86 台灣高雄市旗山區
342,旗甲二路,22.96078,120.51791,XG69+857 台灣高雄市旗山區
343,刺仔寮,22.96125,120.52865,XG6H+GF2 台灣高雄市杉林區
344,杉林農會,22.9643,120.53211,XG7J+PR9 台灣高雄市杉林區
345,月眉,22.96754,120.5337,XG9M+2F8 台灣高雄市杉林區
346,電力公司(杉林),22.96992,120.53612,XG9P+XC9 台灣高雄市杉林區
347,杉林國中,22.97074,120.53877,XGCQ+7GR 台灣高雄市杉林區
348,杉林區公所(衛生所),22.97194,120.53996,XGCQ+QXG 台灣高雄市杉林區
349,中興北路一,22.69317,120.43295,MCVM+758 台灣高雄市大樹區
